# time dst_kyoto dst_l1 dst_stb dst_pers v_l1 v_stb v_pers
732762.08333 -11.00000 -14.18422 -20.27136 -3.54521 448.00000 435.00046 544.76000
732762.12500 -10.00000 -13.23597 -19.03275 -1.16220 443.00000 445.67125 560.88000
732762.16667 -7.00000 -13.67668 -19.58208 -1.62811 464.00000 438.79592 554.40000
732762.20833 -14.00000 -15.41026 -20.44933 -3.01835 462.00000 419.47054 538.44000
732762.25000 -24.00000 -22.12048 -19.94889 -4.48856 438.00000 407.79630 571.32000
732762.29167 -21.00000 -19.69263 -17.88418 -2.78861 438.00000 417.99722 606.64000
732762.33333 -16.00000 -16.02857 -19.09999 -2.41431 435.00000 415.89285 620.92000
732762.37500 -15.00000 -15.60814 -25.49286 0.00847 431.00000 413.48896 623.20000
732762.41667 -21.00000 -17.69436 -26.78991 -0.02400 425.00000 403.23923 615.48000
732762.45833 -24.00000 -20.57432 -19.89452 0.35555 416.00000 420.09667 623.84000
732762.50000 -20.00000 -18.58260 -17.79946 1.81610 425.00000 408.38502 632.00000
732762.54167 -18.00000 -15.59503 -18.71690 2.27934 419.00000 423.30460 643.44000
732762.58333 -18.00000 -15.47980 -18.88169 1.31316 425.00000 435.47192 642.56000
732762.62500 -21.00000 -16.01613 -17.37601 0.17454 430.00000 441.86787 627.32000
732762.66667 -19.00000 -13.96910 -16.33563 -2.86723 449.00000 458.94787 619.88000
732762.70833 -21.00000 -14.04352 -16.79757 -6.74696 464.00000 494.39268 628.44000
732762.75000 -28.00000 -17.22692 -18.11777 -8.66610 528.00000 550.51475 628.60000
732762.79167 -23.00000 -12.88551 -16.37467 -8.92506 572.00000 578.00263 624.20000
732762.83333 -18.00000 -12.39830 -16.27264 -6.64962 570.00000 560.86131 639.92000
732762.87500 -13.00000 -14.09461 -19.29058 -5.07410 554.00000 551.60362 653.12000
732762.91667 -14.00000 -14.42369 -22.56722 -4.19147 538.00000 539.18275 651.32000
732762.95833 -17.00000 -14.84434 -23.88989 -5.22935 550.00000 569.66386 643.36000
732763.00000 -21.00000 -11.65869 -22.36261 -7.06064 573.00000 558.48288 645.72000
732763.04167 -18.00000 -13.03430 -21.50385 -6.71577 571.00000 559.25726 654.64000
732763.08333 -18.00000 -12.46444 -21.43162 -6.75334 570.00000 570.04190 649.16000
732763.12500 -18.00000 -15.07213 -25.55165 -7.80327 580.00000 567.37164 642.04000
732763.16667 -22.00000 -17.29588 -31.02615 -8.85908 585.00000 576.41955 652.36000
732763.20833 -24.00000 -16.04125 -30.38574 -9.58157 579.00000 587.81799 652.68000
732763.25000 -18.00000 -15.96051 -27.58827 -10.74736 562.00000 583.33152 645.52000
732763.29167 -17.00000 -15.19651 -24.42399 -11.00315 568.00000 582.39022 633.00000
732763.33333 -16.00000 -15.14294 -25.28366 -9.54627 554.00000 554.23571 621.00000
732763.37500 -13.00000 -14.22340 -22.67208 -7.75258 573.00000 543.65828 616.32000
732763.41667 -12.00000 -13.95540 -24.07504 -7.89972 578.00000 551.91157 600.56000
732763.45833 -10.00000 -14.42542 -24.01935 -8.13007 545.00000 556.65537 599.36000
732763.50000 -11.00000 -15.08853 -27.06153 -9.09354 539.00000 562.58668 606.44000
732763.54167 -13.00000 -14.38907 -27.14721 -10.63426 517.00000 545.35660 615.40000
732763.58333 -14.00000 -13.83912 -22.99616 -10.42761 524.00000 523.29555 625.00000
732763.62500 -15.00000 -14.41500 -23.12377 -10.59637 515.00000 516.58994 627.08000
732763.66667 -16.00000 -15.77156 -23.20010 -10.16967 503.00000 492.27845 633.16000
