# time dst_kyoto dst_l1 dst_stb dst_pers
256.00000 -20.00000 -19.73930 -22.56179 -5.58807
257.00000 -14.00000 -15.22886 -22.56179 -7.83558
258.00000 -14.00000 -12.21497 -18.77109 -7.83558
259.00000 -12.00000 -12.21497 -11.12624 -7.72016
260.00000 -11.00000 -10.02235 -6.68866 -12.19700
261.00000 -10.00000 -9.12253 -5.99572 -12.19700
262.00000 -6.00000 -5.99046 -3.43208 -8.01791
263.00000 0.00000 -2.79719 -3.43208 -7.78938
264.00000 1.00000 0.84742 0.57160 0.31706
265.00000 -14.00000 -21.49610 -40.28450 1.00000
266.00000 -31.00000 -35.44562 -68.03271 -25.95496
267.00000 -31.00000 -35.44562 -68.03271 -34.37469
268.00000 -23.00000 -21.26221 -51.77266 -34.37469
269.00000 -21.00000 -18.40233 -34.24391 -21.87274
270.00000 -18.00000 -14.60251 -26.48635 -15.97762
271.00000 -15.00000 -13.03290 -26.48635 -15.97762
272.00000 -14.00000 -10.75253 -20.76163 -13.15756
273.00000 -30.00000 -26.19591 -18.58798 -43.72856
274.00000 -30.00000 -26.19591 -38.74912 -49.59328
275.00000 -28.00000 -22.66125 -38.74912 -49.59328
276.00000 -21.00000 -22.66125 -22.13336 -33.95799
277.00000 -21.00000 -22.32672 -20.00194 -24.14177
278.00000 -19.00000 -17.54194 -20.00194 -18.81617
279.00000 -17.00000 -14.86442 -19.06492 -17.85677
280.00000 -16.00000 -11.10453 -15.59191 -17.13342
281.00000 -11.00000 -10.44106 -13.41764 -12.52397
282.00000 -7.00000 -15.27266 -17.16070 -7.79394
283.00000 -10.00000 -15.27266 -17.16070 -5.75166
284.00000 -13.00000 -9.89514 -13.53766 -3.51656
285.00000 -17.00000 -9.71118 -12.64233 -31.59167
286.00000 -17.00000 -8.89440 -18.50914 -32.25389
287.00000 -10.00000 -7.20187 -18.50914 -32.25389
288.00000 -10.00000 -5.83252 -16.52704 -29.37936
289.00000 0.00000 -2.20557 -9.53538 -19.33563
290.00000 1.00000 -0.19582 -7.25060 -14.19688
291.00000 -6.00000 -2.00170 -5.71393 -13.00507
292.00000 -6.00000 -2.07629 -4.70557 -9.42977
